MultiAgentWaterWorld: 2022-02-18 20:14:04,041 [INFO] EvoJAX MultiAgentWaterWorld
MultiAgentWaterWorld: 2022-02-18 20:14:04,041 [INFO] ==============================
MultiAgentWaterWorld: 2022-02-18 20:14:18,123 [INFO] Start to train for 2000 iterations.
MultiAgentWaterWorld: 2022-02-18 20:19:10,447 [INFO] Iter=390, size=16, max=1.2812, avg=0.5908, min=0.0469, std=0.2732
MultiAgentWaterWorld: 2022-02-18 20:19:15,548 [INFO] Iter=400, size=16, max=1.3125, avg=0.4668, min=0.0156, std=0.2951
MultiAgentWaterWorld: 2022-02-18 20:19:16,142 [INFO] [TEST] Iter=400, #tests=100, max=1.6875 avg=0.5437, min=-0.5000, std=0.4725
MultiAgentWaterWorld: 2022-02-18 20:19:21,228 [INFO] Iter=410, size=16, max=1.6719, avg=0.5488, min=-0.0312, std=0.4264
MultiAgentWaterWorld: 2022-02-18 20:19:26,330 [INFO] Iter=420, size=16, max=0.8750, avg=0.4561, min=0.0000, std=0.2795
MultiAgentWaterWorld: 2022-02-18 20:19:31,404 [INFO] Iter=430, size=16, max=1.1250, avg=0.6270, min=0.0938, std=0.2694
MultiAgentWaterWorld: 2022-02-18 20:19:36,467 [INFO] Iter=440, size=16, max=0.7969, avg=0.4033, min=-0.0156, std=0.1960
MultiAgentWaterWorld: 2022-02-18 20:19:41,550 [INFO] Iter=450, size=16, max=0.9844, avg=0.4844, min=0.1875, std=0.2564
MultiAgentWaterWorld: 2022-02-18 20:19:46,632 [INFO] Iter=460, size=16, max=0.7969, avg=0.5498, min=0.0312, std=0.2426
MultiAgentWaterWorld: 2022-02-18 20:19:51,728 [INFO] Iter=470, size=16, max=1.2344, avg=0.5762, min=-0.0156, std=0.3298
MultiAgentWaterWorld: 2022-02-18 20:19:56,819 [INFO] Iter=480, size=16, max=1.2656, avg=0.6211, min=-0.0469, std=0.3037
MultiAgentWaterWorld: 2022-02-18 20:20:01,893 [INFO] Iter=490, size=16, max=1.1094, avg=0.5967, min=0.1250, std=0.2688
MultiAgentWaterWorld: 2022-02-18 20:20:06,976 [INFO] Iter=500, size=16, max=1.0000, avg=0.6377, min=-0.2969, std=0.3263
MultiAgentWaterWorld: 2022-02-18 20:20:07,570 [INFO] [TEST] Iter=500, #tests=100, max=1.8125 avg=0.5456, min=-0.5625, std=0.4605
MultiAgentWaterWorld: 2022-02-18 20:20:12,669 [INFO] Iter=510, size=16, max=1.2031, avg=0.6836, min=0.0469, std=0.3373
MultiAgentWaterWorld: 2022-02-18 20:20:17,751 [INFO] Iter=520, size=16, max=1.3750, avg=0.6162, min=0.0000, std=0.3118
MultiAgentWaterWorld: 2022-02-18 20:20:22,849 [INFO] Iter=530, size=16, max=0.8750, avg=0.5732, min=0.2812, std=0.1617
MultiAgentWaterWorld: 2022-02-18 20:20:27,923 [INFO] Iter=540, size=16, max=1.0000, avg=0.6318, min=0.1094, std=0.2509
MultiAgentWaterWorld: 2022-02-18 20:20:33,017 [INFO] Iter=550, size=16, max=1.3125, avg=0.7441, min=0.1094, std=0.2935
MultiAgentWaterWorld: 2022-02-18 20:20:38,115 [INFO] Iter=560, size=16, max=0.9688, avg=0.6123, min=0.4062, std=0.1667
MultiAgentWaterWorld: 2022-02-18 20:20:43,198 [INFO] Iter=570, size=16, max=1.3438, avg=0.7588, min=0.1250, std=0.3649
MultiAgentWaterWorld: 2022-02-18 20:20:48,279 [INFO] Iter=580, size=16, max=1.4062, avg=0.7578, min=-0.1094, std=0.4094
MultiAgentWaterWorld: 2022-02-18 20:20:53,359 [INFO] Iter=590, size=16, max=0.8750, avg=0.6406, min=-0.0156, std=0.2344
MultiAgentWaterWorld: 2022-02-18 20:20:58,450 [INFO] Iter=600, size=16, max=1.2188, avg=0.5840, min=0.0625, std=0.3158
MultiAgentWaterWorld: 2022-02-18 20:20:59,045 [INFO] [TEST] Iter=600, #tests=100, max=2.2500 avg=0.7244, min=-0.6875, std=0.5238
MultiAgentWaterWorld: 2022-02-18 20:21:04,132 [INFO] Iter=610, size=16, max=1.1719, avg=0.7295, min=0.0938, std=0.3189
MultiAgentWaterWorld: 2022-02-18 20:21:09,213 [INFO] Iter=620, size=16, max=1.2031, avg=0.6582, min=-0.0156, std=0.3308
MultiAgentWaterWorld: 2022-02-18 20:21:14,304 [INFO] Iter=630, size=16, max=1.4062, avg=0.7549, min=-0.1719, std=0.3506
MultiAgentWaterWorld: 2022-02-18 20:21:19,382 [INFO] Iter=640, size=16, max=1.2812, avg=0.6553, min=-0.0312, std=0.3324
MultiAgentWaterWorld: 2022-02-18 20:21:24,471 [INFO] Iter=650, size=16, max=1.3906, avg=0.7549, min=0.0312, std=0.4081
MultiAgentWaterWorld: 2022-02-18 20:21:29,576 [INFO] Iter=660, size=16, max=1.2500, avg=0.7471, min=0.1719, std=0.2982
MultiAgentWaterWorld: 2022-02-18 20:21:34,658 [INFO] Iter=670, size=16, max=1.6719, avg=0.8506, min=0.2344, std=0.3735
